NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
1888,-12.2306,0.0047,-13.9901,0.0045,-13.8581,0.0051,3.69,4965.913,147.3241,314,338,149.0094849,69.1443375,1080.924,649.847,11.49,0.0005967136,1.284,0.221,0.03,5.061,dataset\i23.cat,fo
4225,-12.1519,0.005,-13.1371,0.0069,-13.1371,0.0069,3.9,4286.188,147.3241,187,199,149.0513277,69.2092574,795.582,1899.326,4.46,0.0002315356,1.176,0.15,0.49,3.017,dataset\i23.cat,fo
3768,-12.0135,0.0056,-13.5835,0.0066,-13.5857,0.0077,3.93,4745.209,147.3241,334,374,148.9149026,69.1871604,1729.031,1474.587,7.02,0.0003648088,1.597,0.374,0.03,4.591,dataset\i23.cat,fo
4574,-11.8407,0.0064,-13.827,0.0059,-13.827,0.0059,3.73,4346.857,147.3241,447,475,148.97236,69.2628073,1334.576,2930.793,8.47,0.0004400458,1.168,0.144,0.03,5.961,dataset\i23.cat,fo
3856,-11.6969,0.0071,-13.5251,0.0062,-13.5251,0.0062,3.5,4269.292,147.3241,311,327,149.0995417,69.1909049,465.913,1547.002,9.14,0.0004747118,1.283,0.221,0.03,4.842,dataset\i23.cat,fo
4630,-11.5951,0.0077,-14.5939,0.0035,-14.5939,0.0035,3.5,4365.403,147.3241,685,706,148.9441563,69.27542,1531.765,3175.053,21.27,0.001104977,1.367,0.268,0.03,7.463,dataset\i23.cat,fo
3757,-11.5113,0.0082,-13.3115,0.0101,-13.3115,0.0101,4.48,4314.97,147.3241,326,362,149.0574254,69.1863505,753.796,1458.467,5.71,0.0002967956,1.261,0.207,0.03,6.055,dataset\i23.cat,fo
4789,-11.4956,0.0083,-12.7035,0.0115,-12.7035,0.0115,4.22,4366.32,147.3241,167,178,149.0958403,69.3302615,495.328,4230.23,4.79,0.0002487913,1.231,0.188,0.09,3.676,dataset\i23.cat,fo
4947,-11.3924,0.0091,-13.0748,0.0091,-13.0748,0.0091,3.9,4381.222,147.3241,223,242,148.9956474,69.3113749,1175.548,3865.743,9.51,0.0004940137,1.358,0.264,0.03,4.49,dataset\i23.cat,fo
4862,-11.3916,0.009,-13.0884,0.0112,-13.0884,0.0112,4.74,4389.06,147.3241,237,256,148.9440056,69.3236203,1526.96,4102.675,6.61,0.0003435731,1.276,0.216,0.03,5.093,dataset\i23.cat,fo
