@relation datatest

@attribute MAG_APER numeric
@attribute MAGERR_APER numeric
@attribute MAG_AUTO numeric
@attribute MAGERR_AUTO numeric
@attribute MAG_BEST numeric
@attribute MAGERR_BEST numeric
@attribute KRON_RADIUS numeric
@attribute BACKGROUND numeric
@attribute THRESHOLD numeric
@attribute ISOAREA_IMAGE numeric
@attribute ISOAREAF_IMAGE numeric
@attribute ALPHAPEAK_J2000 numeric
@attribute DELTAPEAK_J2000 numeric
@attribute FWHM_IMAGE numeric
@attribute FWHM_WORLD numeric
@attribute ELONGATION numeric
@attribute ELLIPTICITY numeric
@attribute CLASS_STAR numeric
@attribute FLUX_RADIUS numeric
@attribute CLASS_OBJECT {gc,star,gx_e,gx_r,sf}

@data
-12.3224,0.0044,-12.9492,0.0068,-12.9492,0.0068,3.77,4619.243,147.3241,128,159,148.88422,69.209526,4.49,0.000233,1.363,0.266,0.98,2.26,gc
-14.5028,0.0012,-14.9923,0.0012,-14.9923,0.0012,3.5,4353.484,147.3241,245,260,148.923665,69.261491,3.36,0.000174,1.029,0.028,1,1.988,gc
-13.3931,0.0022,-13.8446,0.0027,-13.8446,0.0027,3.5,4977.307,147.3241,149,178,148.99767,69.141169,3.31,0.000172,1.195,0.163,0.98,1.946,gc
-12.9269,0.0029,-14.2351,0.0034,-14.2351,0.0034,3.5,4790.527,147.3241,426,483,149.057316,69.133996,5.18,0.000269,1.092,0.084,0.03,3.877,gc
-12.1244,0.0051,-12.5755,0.0071,-12.5755,0.0071,3.5,4260.293,147.3241,83,88,149.113465,69.198117,3.33,0.000173,1.018,0.018,0.98,1.946,gc
-13.1355,0.0026,-13.6169,0.0033,-13.6169,0.0033,3.5,4418.598,147.3241,133,144,148.918706,69.22056,3.28,0.00017,1.053,0.05,0.98,1.981,gc
-12.7203,0.0034,-13.2439,0.0046,-13.2439,0.0046,3.51,4914.69,147.3241,127,171,148.95868,69.158613,3.39,0.000176,1.23,0.187,0.98,2.04,gc
-14.0473,0.0015,-14.4368,0.0016,-14.4368,0.0016,3.5,4422.742,147.3241,105,109,148.876759,69.232738,3.27,0.00017,1.028,0.027,1,1.839,gc
-12.5782,0.0037,-13.1251,0.0052,-13.1571,0.0062,3.5,4710.103,147.3241,136,147,148.892056,69.194885,3.36,0.000175,1.207,0.171,0.98,2.084,gc
-14.204,0.0014,-14.6889,0.0015,-14.6889,0.0015,3.5,4281.188,147.3241,216,233,149.126697,69.155882,3.36,0.000174,1.024,0.024,0.98,1.967,gc
-12.5473,0.0038,-13.0525,0.0053,-13.0525,0.0053,3.5,4715.703,147.3241,123,134,148.918822,69.193551,3.35,0.000174,1.09,0.083,0.98,2.028,gc
-12.9023,0.003,-13.7045,0.0062,-13.7045,0.0062,3.51,4968.677,147.3241,361,424,149.007297,69.143091,3.55,0.000185,2.404,0.584,0.84,2.647,gc
-12.2672,0.0046,-12.7161,0.0063,-12.7161,0.0063,3.5,4295.465,147.3241,87,104,149.129707,69.145596,3.31,0.000172,1.04,0.038,0.98,1.927,gc
-13.5604,0.002,-14.0335,0.0024,-14.0335,0.0024,3.5,4385.847,147.3241,155,168,148.97094,69.315942,3.32,0.000172,1.009,0.009,0.98,1.968,gc
-12.5041,0.0039,-13.007,0.0061,-13.007,0.0061,3.72,4560.634,147.3241,121,185,148.917164,69.204925,3.52,0.000183,1.437,0.304,0.98,2.01,gc
-13.1492,0.0025,-13.6161,0.0032,-13.6161,0.0032,3.5,4312.333,147.3241,128,141,149.012259,69.251697,3.33,0.000173,1.039,0.037,0.98,1.967,gc
-13.5549,0.002,-14.0239,0.0023,-14.0239,0.0023,3.5,4368.625,147.3241,152,157,148.951318,69.28633,3.32,0.000173,1.039,0.037,0.98,1.977,gc
-14.2809,0.0013,-14.9135,0.0014,-14.9135,0.0014,3.5,5420.483,147.3241,296,328,148.983544,69.122884,3.8,0.000197,1.068,0.064,0.98,2.27,gc
-15.17,0.0008,-15.9885,0.0007,-16.0268,0.0009,3.5,4637.379,147.3241,550,613,149.032841,69.158516,5.15,0.000268,1.023,0.022,1,2.604,gc
-12.8537,0.0031,-13.3413,0.004,-13.3413,0.004,3.5,4327.989,147.3241,118,126,148.992753,69.259435,3.47,0.00018,1.047,0.045,0.98,2.015,gc
-13.941,0.0016,-14.4195,0.0018,-14.4195,0.0018,3.5,4291.588,147.3241,189,202,149.047285,69.242759,3.32,0.000172,1.031,0.03,0.98,1.981,gc
-12.5522,0.0038,-13.1224,0.0053,-13.1224,0.0053,3.5,4821.26,147.3241,137,147,148.976912,69.168486,3.85,0.0002,1.268,0.212,0.98,2.161,gc
-12.5129,0.0039,-12.9254,0.0052,-12.9254,0.0052,3.5,4730.792,147.3241,81,90,148.918534,69.192512,3.31,0.000172,1.085,0.078,0.98,1.89,gc
-12.8327,0.0031,-13.3109,0.0041,-13.3109,0.0041,3.5,4325.839,147.3241,118,128,148.967289,69.232265,3.35,0.000174,1.033,0.032,0.98,1.967,gc
-14.2614,0.0013,-14.7488,0.0014,-14.7488,0.0014,3.5,4344.275,147.3241,211,229,149.13128,69.299596,3.36,0.000175,1.016,0.016,0.98,1.984,gc
-11.6666,0.0073,-12.1216,0.0102,-12.1216,0.0102,3.5,4282.562,147.3241,68,72,149.056301,69.208425,3.31,0.000172,1.029,0.028,0.97,1.929,gc
-13.7142,0.0018,-14.1917,0.0021,-14.1917,0.0021,3.5,4343.24,147.3241,174,188,149.028341,69.191186,3.32,0.000172,1.043,0.041,0.98,1.963,gc
-13.7491,0.0018,-14.2114,0.002,-14.2114,0.002,3.5,4384.054,147.3241,168,178,148.91068,69.340744,3.27,0.00017,1.017,0.017,0.98,1.966,gc
-14.8148,0.001,-15.364,0.001,-15.364,0.001,3.5,4950.608,147.3241,335,360,148.906237,69.165548,3.94,0.000205,1.087,0.08,0.99,2.106,star
