NUMBER,MAG_APER,MAGERR_APER,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,KRON_RADIUS,BACKGROUND,THRESHOLD,ISOAREA_IMAGE,ISOAREAF_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,X_IMAGE,Y_IMAGE,FWHM_IMAGE,FWHM_WORLD,ELONGATION,ELLIPTICITY,CLASS_STAR,FLUX_RADIUS,FILE_NAME,CLASS_OBJECT
225,-13.4223,0.0021,-13.9933,0.0029,-14.049,0.0035,3.5,5100.553,147.3241,232,260,149.0660173,69.1147236,694.604,79.191,4.09,0.0002122516,1.326,0.246,0.98,2.155,dataset\i23.cat,gc
4530,-13.612,0.0019,-14.1099,0.0024,-14.1099,0.0024,3.5,4277.292,147.3241,196,214,149.1212002,69.2530645,320.591,2744.379,3.41,0.0001772919,1.164,0.141,0.98,1.993,dataset\i23.cat,gc
1504,-14.3071,0.0013,-15.1026,0.0013,-15.1026,0.0013,3.5,5093.079,147.3241,386,407,148.9838214,69.1338955,1257.968,449.173,4.02,0.0002089612,1.016,0.016,0.95,2.592,dataset\i23.cat,gc
4094,-12.3677,0.0043,-12.8507,0.0064,-12.8507,0.0064,3.78,4636.626,147.3241,96,125,148.9177725,69.1995755,1708.797,1713.507,3.42,0.0001778668,1.142,0.125,0.98,1.979,dataset\i23.cat,gc
3590,-13.7546,0.0018,-14.2388,0.0021,-14.2388,0.0021,3.5,4781.854,147.3241,183,193,148.9329163,69.1778724,1606.404,1296.388,3.27,0.0001698454,1.055,0.052,0.99,1.97,dataset\i23.cat,gc
394,-13.3734,0.0022,-14.1964,0.0029,-14.1964,0.0029,3.5,5086.615,147.3241,314,370,149.0301788,69.1173281,940.36,130.098,4.33,0.0002246747,1.414,0.293,0.9,2.647,dataset\i23.cat,gc
3677,-14.5549,0.0011,-15.0465,0.0012,-15.0465,0.0012,3.5,4332.822,147.3241,297,321,149.0542029,69.1829233,776.047,1393.001,3.4,0.0001765404,1.177,0.151,0.98,2.036,dataset\i23.cat,gc
3497,-13.9885,0.0015,-14.4765,0.0017,-14.4765,0.0017,3.5,4340.785,147.3241,213,225,149.0641221,69.1750258,707.632,1240.75,3.37,0.0001749375,1.098,0.089,0.99,1.988,dataset\i23.cat,gc
4918,-13.075,0.0026,-14.0879,0.0034,-14.0879,0.0034,3.73,4367.175,147.3241,347,379,149.1132124,69.332122,377.052,4265.896,4.27,0.0002220546,1.075,0.069,0.71,3.101,dataset\i23.cat,gc
4414,-14.2639,0.0013,-14.6568,0.0015,-14.6568,0.0015,3.5,4344.4,147.3241,178,190,148.9510297,69.2320008,1480.709,2338.263,3.43,0.0001780468,1.171,0.146,0.98,1.857,dataset\i23.cat,gc
